scenario,path,style,tag,x,y,width,height,parent_x,parent_y,parent_width,parent_height,font_px
LD6-E1-1280x800,fig/4/37/2,text,,360.820480,553.318400,88.535040,20.697600,354.784000,496.400000,100.608000,86.240000,12.000000
LD6-E1-1280x800,fig/4/38,text,lead:K,455.392000,538.020000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E1-1280x800,fig/4/39,text,lead:K,348.632000,538.020000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E1-1280x800,fig/4/40,frame,component:E1,90.688000,484.080000,125.760000,98.560000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E1-1280x800,fig/4/40/1,text,reading:E1,95.718400,488.022400,115.699200,57.164800,90.688000,484.080000,125.760000,98.560000,14.000000
LD6-E1-1280x800,fig/4/40/2,text,,98.233600,549.129600,110.668800,23.654400,90.688000,484.080000,125.760000,98.560000,12.000000
LD6-E1-1280x800,fig/4/41,text,lead:E1,216.448000,538.020000,1.960000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E1-1280x800,fig/4/42,text,lead:E1,88.728000,538.020000,1.960000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E1-1280x800,fig/4/43,pushbutton,B03,702.720000,219.200000,150.912000,36.960000,32.000000,96.000000,838.400000,616.000000,13.000000
LD6-E1-1280x800,fig/4/44,pushbutton,B02,702.720000,280.800000,150.912000,36.960000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E1-1280x800,fig/4/45,pushbutton,B01,702.720000,342.400000,150.912000,36.960000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E1-1280x800,fig/4/46,pushbutton,B13,514.080000,108.320000,146.720000,43.120000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E1-1280x800,fig/4/47,pushbutton,B12,358.976000,108.320000,146.720000,43.120000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E1-1280x800,fig/4/48,pushbutton,B11,203.872000,108.320000,146.720000,43.120000,32.000000,96.000000,838.400000,616.000000,12.000000
LD6-E1-1280x800,fig/4/49,pushbutton,B10,48.768000,108.320000,146.720000,43.120000,32.000000,96.000000,838.400000,616.000000,12.000000
